accepted_transitions,ate_rmse_m,ate_rot_rmse_deg,fallback_transitions,num_poses,rpe_rot_rmse_d100_deg,rpe_rot_rmse_d10_deg,rpe_rot_rmse_d1_deg,rpe_trans_rmse_d100_m,rpe_trans_rmse_d10_m,rpe_trans_rmse_d1_m,runtime_sec,seq
4540,32.751896365772446,10.49450984014911,0,4541,1.8186590678172825,0.6725117158937729,0.11921001621955003,1.4464536851323526,0.21080936245831827,0.03324314500518954,2967.721203327179,00
922,298.35831280108357,18.96768420751997,178,1101,9.362280448093758,1.9957925118464543,0.35536139209525186,114.46053810522073,12.122248845260737,1.2903744623172635,569.6752071380615,01
4660,37.37813414743522,8.685166119683979,0,4661,1.840128011207121,0.380829864250309,0.07873798693784366,1.4885683173925333,0.22855240839330224,0.03611743550584962,2892.8775882720947,02
800,1.867913247254812,6.159074551587659,0,801,1.0649444838483602,0.21104866879789674,0.055212397314100665,1.0407550270559307,0.13875547640650118,0.02260090281104218,590.2577798366547,03
270,1.4050766729349264,26.894444416391302,0,271,1.8222561875994383,0.35896582539424815,0.06063395665426687,1.4599384882130648,0.3019636633173182,0.05222873908896836,195.25036478042603,04
2760,8.737747148091376,3.306128895695733,0,2761,1.3821842827961863,0.30226437242154347,0.07016815732741877,1.5416645376595859,0.224411218174652,0.03658186714523261,1749.8159461021423,05
1100,6.208136598203559,7.164541461039362,0,1101,2.699084680537805,0.39821538963937103,0.0692499724727678,2.9800535238510193,0.35709690811367756,0.056002218961074365,657.3056313991547,06
1100,5.231537713725373,2.876851845267606,0,1101,2.3948973505288667,0.6581239855261347,0.15374376824146377,1.3846707766095065,0.31155576576766314,0.07138266826789565,708.2056415081024,07
4070,16.116519064552595,6.334556158506242,0,4071,1.4095334248147933,0.259008474737071,0.05977014065628388,1.8800591872913683,0.3485103814641722,0.042810949884488164,2379.176601409912,08
1590,17.43619680872029,3.3174726345104424,0,1591,1.5290872722998987,0.3147491341101906,0.06448584084018404,2.0671028855708733,0.3076037853413921,0.04380583908927049,930.4997334480286,09
1200,4.08366628839308,3.1094303312260423,0,1201,1.5164820206332243,0.29045567481711343,0.07252080754167683,0.7912213956648552,0.17307151553278255,0.03051988602544696,689.335732460022,10
