accepted_transitions,ate_rmse_m,ate_rot_rmse_deg,fallback_transitions,num_poses,rpe_rot_rmse_d100_deg,rpe_rot_rmse_d10_deg,rpe_rot_rmse_d1_deg,rpe_trans_rmse_d100_m,rpe_trans_rmse_d10_m,rpe_trans_rmse_d1_m,runtime_sec,seq
24,0.34588668202042927,12.908332635078816,0,25,,0.9758128607541972,0.139750259103847,,0.5470710863412344,0.08112661922515958,7.508537769317627,00
24,0.5270888514812331,1.307363893087565,0,25,,0.27907691980357824,0.0635021248881941,,0.7441664933305638,0.10099603121967371,6.817566633224487,01
24,0.08443124431441751,156.813388639474,0,25,,0.12174902307380499,0.03612475077627647,,0.1399737099814679,0.02952592028314398,7.58631443977356,02
24,0.02698248679562389,62.615009367147884,0,25,,0.1075993663690809,0.033560638484970255,,0.1718263393135688,0.026058508300257,7.699078559875488,03
24,0.14926810841672505,76.28540531279371,0,25,,0.37613848965244334,0.07115141615828104,,0.2619612978540392,0.041277077210523705,7.587691307067871,04
24,0.08751381310190298,37.39590940688566,0,25,,0.10475864160119075,0.03930842394845552,,0.13771407118595683,0.020475397633694655,7.265984296798706,05
24,0.12465483035536505,19.68795610402794,0,25,,0.45791065100224115,0.08638491999473104,,0.19148630784023093,0.035866483957884616,7.362724304199219,06
24,0.030266988833818627,0.6552448333536663,0,25,,0.13153024909129832,0.03614716176718392,,0.055660921946757744,0.008461819226526543,7.164959907531738,07
24,0.24594100293390522,90.71980686628545,0,25,,0.201147888735499,0.039568140297974785,,1.8437362100126125,0.1896570749547794,7.5953590869903564,08
24,0.03413043982038093,2.984693397538418,0,25,,0.29214545079887366,0.05903052939633852,,0.05609546698711386,0.014948956634211426,6.85237717628479,09
24,0.058135287087796174,3.8469073943941785,0,25,,0.5088981188123507,0.0633819138353802,,0.15633415323046915,0.026051652049781295,6.459384918212891,10
